ID	SubjectName	TrialID	TrialSequence	CountInTrial	StartTime	Length	PosX	PosY	SubjectCategory	Age	Sex	Handedness	Comments	Trial Name	Trial Category	SlideNr	AOI	AOI group
84	S0102	5	5	2	202	132	685,492553710938	308,398498535156						KF_006.jpg		0	nowhere	nowhere	
85	S0102	5	5	3	348	324	587,649719238281	178,377975463867						KF_006.jpg		0	fkf006	nowhere	
86	S0102	5	5	4	694	382	489,2666015625	468,212921142578						KF_006.jpg		0	nowhere	nowhere	
87	S0102	5	5	5	1104	168	688,651794433594	487,486999511719						KF_006.jpg		0	nowhere	nowhere	
88	S0102	5	5	6	1304	236	1017,5712890625	412,437774658203						KF_006.jpg		0	nowhere	nowhere	
89	S0102	5	5	7	1574	258	611,364318847656	185,177673339844						KF_006.jpg		0	fkf006	nowhere	
90	S0102	5	5	8	1860	218	797,831726074219	274,460876464844						KF_006.jpg		0	nowhere	nowhere	
91	S0102	5	5	9	2092	116	700,130554199219	256,586456298828						KF_006.jpg		0	fkf006	nowhere	
92	S0102	5	5	10	2248	178	1265,05126953125	549,691101074219						KF_006.jpg		0	nowhere	nowhere	
93	S0102	5	5	11	2458	168	1549,00573730469	886,947082519531						KF_006.jpg		0	lkf6	nowhere	
94	S0102	5	5	12	2636	138	1520,72009277344	933,267150878906						KF_006.jpg		0	nowhere	nowhere	
95	S0102	5	5	13	2828	98	629,933959960938	344,679962158203						KF_006.jpg		0	nowhere	nowhere	
96	S0102	5	5	14	2928	120	628,324584960938	322,783599853516						KF_006.jpg		0	nowhere	nowhere	
97	S0102	5	5	15	3056	196	602,093933105469	257,730316162109						KF_006.jpg		0	fkf006	nowhere	
98	S0102	5	5	16	3262	232	625,330810546875	193,552978515625						KF_006.jpg		0	fkf006	nowhere	
99	S0102	5	5	17	3530	170	1158,27331542969	440,303588867188						KF_006.jpg		0	nowhere	nowhere	
100	S0102	5	5	18	3702	204	1160,71472167969	468,865112304688						KF_006.jpg		0	nowhere	nowhere	
101	S0102	6	6	1	0	292	956,93994140625	532,679626464844						KF_007.jpg		0	nowhere	nowhere	
102	S0102	6	6	2	324	114	1293,1689453125	288,118927001953						KF_007.jpg		0	fkf7	nowhere	
103	S0102	6	6	3	488	150	1339,88537597656	227,017120361328						KF_007.jpg		0	fkf7	nowhere	
104	S0102	6	6	4	676	228	621,659973144531	45,5347900390625						KF_007.jpg		0	lkf7	nowhere	
105	S0102	6	6	5	906	226	580,426330566406	30,7587757110596						KF_007.jpg		0	lkf7	nowhere	
106	S0102	6	6	6	1170	188	1272,85595703125	242,583206176758						KF_007.jpg		0	fkf7	nowhere	
107	S0102	6	6	7	1368	456	1349,81469726563	235,709548950195						KF_007.jpg		0	fkf7	nowhere	
108	S0102	6	6	8	1834	222	1325,35412597656	292,722381591797						KF_007.jpg		0	fkf7	nowhere	
109	S0102	6	6	9	2058	166	1299,62353515625	290,142791748047						KF_007.jpg		0	fkf7	nowhere	
110	S0102	6	6	10	2234	340	1302,59777832031	226,855575561523						KF_007.jpg		0	fkf7	nowhere	
111	S0102	6	6	11	2598	172	1232,26306152344	63,8184051513672						KF_007.jpg		0	fkf7	nowhere	
112	S0102	6	6	12	2810	400	611,222961425781	67,6258697509766						KF_007.jpg		0	lkf7	nowhere	
113	S0102	6	6	13	3212	98	634,18798828125	73,4980010986328						KF_007.jpg		0	lkf7	nowhere	
114	S0102	6	6	14	3312	110	598,346496582031	60,389289855957						KF_007.jpg		0	lkf7	nowhere	
115	S0102	6	6	15	3474	306	1301,86071777344	253,835021972656						KF_007.jpg		0	fkf7	nowhere	
116	S0102	6	6	16	3804	166	1099,10473632813	321,752349853516						KF_007.jpg		0	nowhere	nowhere	
117	S0102	7	7	1	0	286	951,400390625	605,770690917969						KF_008.jpg		0	fkf8	nowhere	
118	S0102	7	7	2	294	134	884,7236328125	643,907287597656						KF_008.jpg		0	fkf8	nowhere	
119	S0102	7	7	3	464	152	1491,19494628906	805,933715820313						KF_008.jpg		0	lkf8	nowhere	
120	S0102	7	7	4	618	182	1501,65551757813	827,626953125						KF_008.jpg		0	lkf8	nowhere	
121	S0102	7	7	5	802	168	1538,99389648438	817,119873046875						KF_008.jpg		0	lkf8	nowhere	
122	S0102	7	7	6	1028	102	1650,55004882813	807,892456054688						KF_008.jpg		0	lkf8	nowhere	
123	S0102	7	7	7	1346	166	872,079772949219	438,240478515625						KF_008.jpg		0	fkf8	nowhere	
124	S0102	7	7	8	1526	274	959,797119140625	332,19921875						KF_008.jpg		0	fkf8	nowhere	
125	S0102	7	7	9	1828	324	911,508911132813	668,23486328125						KF_008.jpg		0	fkf8	nowhere	
126	S0102	7	7	10	2666	80	1002,22930908203	427,495147705078						KF_008.jpg		0	fkf8	nowhere	
127	S0102	7	7	11	2748	94	1013,08331298828	470,439575195313						KF_008.jpg		0	fkf8	nowhere	
128	S0102	7	7	12	2862	294	930,160339355469	346,642608642578						KF_008.jpg		0	fkf8	nowhere	
129	S0102	7	7	13	3166	168	864,422546386719	375,487060546875						KF_008.jpg		0	fkf8	nowhere	
130	S0102	7	7	14	3378	528	985,816284179688	381,009490966797						KF_008.jpg		0	fkf8	nowhere	
131	S0102	7	7	15	3924	94	875,139709472656	390,618804931641						KF_008.jpg		0	fkf8	nowhere	
132	S0102	8	8	1	0	194	955,245849609375	570,264221191406						KF_009.jpg		0	fkf9	nowhere	
133	S0102	8	8	2	196	160	958,791198730469	521,909912109375						KF_009.jpg		0	fkf9	nowhere	
134	S0102	8	8	3	430	162	1397,11828613281	120,558547973633						KF_009.jpg		0	lkf9	nowhere	
135	S0102	8	8	4	594	202	1445,51318359375	63,3882255554199						KF_009.jpg		0	lkf9	nowhere	
136	S0102	8	8	5	798	206	1475,57958984375	73,5144195556641						KF_009.jpg		0	lkf9	nowhere	
137	S0102	8	8	6	1006	110	1487,45910644531	98,5160751342773						KF_009.jpg		0	lkf9	nowhere	
138	S0102	8	8	7	1124	218	1467,93518066406	186,655456542969						KF_009.jpg		0	lkf9	nowhere	
139	S0102	8	8	8	1378	80	1275,36352539063	287,560974121094						KF_009.jpg		0	nowhere	nowhere	
140	S0102	8	8	9	1488	116	1015,42901611328	395,903411865234						KF_009.jpg		0	fkf9	nowhere	
141	S0102	8	8	10	1612	166	971,77392578125	474,959533691406						KF_009.jpg		0	fkf9	nowhere	
142	S0102	8	8	11	1814	302	708,996765136719	815,047424316406						KF_009.jpg		0	nowhere	nowhere	
143	S0102	8	8	12	2546	104	1123,00561523438	787,437744140625						KF_009.jpg		0	nowhere	nowhere	
144	S0102	8	8	13	2734	140	1054,67614746094	564,537902832031						KF_009.jpg		0	nowhere	nowhere	
145	S0102	8	8	14	2888	418	992,608581542969	466,063873291016						KF_009.jpg		0	fkf9	nowhere	
146	S0102	8	8	15	3336	258	1165,95959472656	807,491333007813						KF_009.jpg		0	nowhere	nowhere	
147	S0102	8	8	16	3596	408	1199,44262695313	775,210754394531						KF_009.jpg		0	nowhere	nowhere	
148	S0102	9	9	1	0	276	977,663452148438	540,592834472656						KF_010.jpg		0	nowhere	nowhere	
149	S0102	9	9	2	306	148	731,403930664063	705,397277832031						KF_010.jpg		0	nowhere	nowhere	
150	S0102	9	9	3	496	184	1488,78930664063	895,639892578125						KF_010.jpg		0	nowhere	nowhere	
151	S0102	9	9	4	738	282	1450,1435546875	914,722351074219						KF_010.jpg		0	lkf10	nowhere	
152	S0102	9	9	5	1174	108	1504,32006835938	956,778198242188						KF_010.jpg		0	lkf10	nowhere	
153	S0102	9	9	6	1314	314	1430,03686523438	959,031860351563						KF_010.jpg		0	lkf10	nowhere	
154	S0102	9	9	7	1630	222	1489,52697753906	975,26513671875						KF_010.jpg		0	lkf10	nowhere	
155	S0102	9	9	8	1854	228	1542,22814941406	981,246215820313						KF_010.jpg		0	lkf10	nowhere	
156	S0102	9	9	9	2090	184	1620,24072265625	1001,82257080078						KF_010.jpg		0	lkf10	nowhere	
157	S0102	9	9	10	2602	178	824,965698242188	75,6888809204102						KF_010.jpg		0	fkf10	nowhere	
158	S0102	9	9	11	2814	162	897,423034667969	543,252502441406						KF_010.jpg		0	nowhere	nowhere	
159	S0102	9	9	12	2984	170	881,702331542969	607,801208496094						KF_010.jpg		0	nowhere	nowhere	
160	S0102	9	9	13	3182	394	830,685791015625	40,4752502441406						KF_010.jpg		0	fkf10	nowhere	
161	S0102	9	9	14	3642	244	731,145446777344	678,600891113281						KF_010.jpg		0	nowhere	nowhere	
162	S0102	9	9	15	3914	96	854,167358398438	399,657043457031						KF_010.jpg		0	nowhere	nowhere	
163	S0102	10	10	1	0	258	968,810729980469	586,682800292969						KF_011.jpg		0	fkf11	nowhere	
164	S0102	10	10	2	268	142	911,869567871094	604,893127441406						KF_011.jpg		0	nowhere	nowhere	
165	S0102	10	10	3	438	158	1047,56530761719	867,57373046875						KF_011.jpg		0	lkf11	nowhere	
166	S0102	10	10	4	650	204	1115,06579589844	946,766052246094						KF_011.jpg		0	lkf11	nowhere	
167	S0102	10	10	5	856	226	1102,27612304688	1001,11956787109						KF_011.jpg		0	lkf11	nowhere	
168	S0102	10	10	6	1084	178	1072,19555664063	1012,90460205078						KF_011.jpg		0	lkf11	nowhere	
169	S0102	10	10	7	1264	196	1115,79174804688	1000,25030517578						KF_011.jpg		0	lkf11	nowhere	
170	S0102	10	10	8	1490	682	831,433837890625	561,984313964844						KF_011.jpg		0	fkf11	nowhere	
171	S0102	10	10	9	2198	214	1042,04992675781	458,861053466797						KF_011.jpg		0	fkf11	nowhere	
172	S0102	10	10	10	2426	146	934,363586425781	489,481109619141						KF_011.jpg		0	fkf11	nowhere	
173	S0102	10	10	11	2596	142	775,184814453125	540,767822265625						KF_011.jpg		0	fkf11	nowhere	
174	S0102	10	10	12	2748	138	716,199951171875	523,067138671875						KF_011.jpg		0	fkf11	nowhere	
175	S0102	10	10	13	3090	90	1059,17602539063	396,621765136719						KF_011.jpg		0	fkf11	nowhere	
176	S0102	10	10	14	3182	132	1070,46252441406	448,832916259766						KF_011.jpg		0	fkf11	nowhere	
177	S0102	10	10	15	3316	158	1081,11145019531	408,606140136719						KF_011.jpg		0	fkf11	nowhere	
178	S0102	10	10	16	3488	514	969,67822265625	444,261688232422						KF_011.jpg		0	fkf11	nowhere	
179	S0102	11	11	1	0	200	973,098083496094	551,860473632813						KF_012.jpg		0	nowhere	nowhere	
180	S0102	11	11	2	222	248	904,847961425781	282,947082519531						KF_012.jpg		0	fkf12	nowhere	
181	S0102	11	11	3	472	142	923,254211425781	238,44303894043						KF_012.jpg		0	fkf12	nowhere	
182	S0102	11	11	4	664	148	192,540008544922	888,538757324219						KF_012.jpg		0	lkf12	nowhere	
183	S0102	11	11	5	826	132	87,1417922973633	886,231323242188						KF_012.jpg		0	lkf12	nowhere	
184	S0102	11	11	6	1018	192	978,7197265625	777,189575195313						KF_012.jpg		0	nowhere	nowhere	
185	S0102	11	11	7	1250	314	1086,14978027344	710,508972167969						KF_012.jpg		0	nowhere	nowhere	
186	S0102	11	11	8	1652	254	914,159606933594	240,926544189453						KF_012.jpg		0	fkf12	nowhere	
187	S0102	11	11	9	1908	122	944,300048828125	234,117706298828						KF_012.jpg		0	fkf12	nowhere	
188	S0102	11	11	10	2058	242	990,150756835938	662,149230957031						KF_012.jpg		0	nowhere	nowhere	
189	S0102	11	11	11	2322	340	944,365417480469	256,418701171875						KF_012.jpg		0	fkf12	nowhere	
190	S0102	11	11	12	2664	222	903,206115722656	260,917785644531						KF_012.jpg		0	fkf12	nowhere	
191	S0102	11	11	13	2888	156	940,028991699219	238,41520690918						KF_012.jpg		0	fkf12	nowhere	
192	S0102	11	11	14	3096	176	178,669677734375	909,486572265625						KF_012.jpg		0	lkf12	nowhere	
193	S0102	11	11	15	3630	100	1100,18017578125	723,509948730469						KF_012.jpg		0	nowhere	nowhere	
194	S0102	11	11	16	3888	128	1023,77380371094	391,087677001953						KF_012.jpg		0	fkf12	nowhere	
195	S0102	12	12	1	0	172	994,876770019531	405,128814697266						KF_013.jpg		0	fkf13	nowhere	
196	S0102	12	12	2	204	128	1237,15368652344	433,839935302734						KF_013.jpg		0	fkf13	nowhere	
197	S0102	12	12	3	388	156	377,472106933594	27,9569702148438						KF_013.jpg		0	lkf13	nowhere	
198	S0102	12	12	4	580	146	124,72297668457	-73,5945892333984						KF_013.jpg		0	nowhere	nowhere	
199	S0102	12	12	5	738	274	59,5949096679688	-78,6340560913086						KF_013.jpg		0	nowhere	nowhere	
200	S0102	12	12	6	1024	336	141,753814697266	-69,1591644287109						KF_013.jpg		0	nowhere	nowhere	
201	S0102	12	12	7	1372	86	228,697769165039	-51,1477279663086						KF_013.jpg		0	nowhere	nowhere	
202	S0102	12	12	8	1660	182	362,313049316406	-45,7771835327148						KF_013.jpg		0	nowhere	nowhere	
203	S0102	12	12	9	1878	262	96,6280517578125	-42,6962127685547						KF_013.jpg		0	nowhere	nowhere	
204	S0102	12	12	10	2142	200	78,1613922119141	-33,5643501281738						KF_013.jpg		0	nowhere	nowhere	
205	S0102	12	12	11	2360	164	198,537368774414	-14,9180688858032						KF_013.jpg		0	nowhere	nowhere	
206	S0102	12	12	12	2526	184	253,809707641602	-29,0999946594238						KF_013.jpg		0	nowhere	nowhere	
207	S0102	12	12	13	2726	284	422,313323974609	-10,4559450149536						KF_013.jpg		0	nowhere	nowhere	
